団体コード,都道府県,市区町村,受入件数,受入額_円,返礼品調達費_円,送付費_円,広報費_円,決済費_円,事務費_円,その他費_円,経費合計_円,返礼品率,送付費率,広報費率,決済費率,事務費率,経費率合計,ポータル費_円,年度,受入額_億円,経費合計_億円,ポータル費_億円
014303,北海道,月形町,26916,951539000,261455481.0,69457293.0,0.0,1787986.0,140746222.0,0.0,473446982.0,0.2747711664997441,0.0729946886044607,0.0,0.0018790464710327,0.1479142967340277,0.4975591983092653,142534208.0,2024,9.52,4.73,1.43
014311,北海道,浦臼町,11130,292326000,78260334.0,17050079.0,0.0,528448.0,49329520.0,0.0,145168381.0,0.2677159541060323,0.0583255646093744,0.0,0.0018077351997427,0.1687483152370983,0.4965975691522478,48243132.0,2024,2.92,1.45,0.48
014320,北海道,新十津川町,9498,213382000,50623914.0,13902100.0,1870000.0,1403969.0,38019022.0,0.0,105819005.0,0.2372454752509583,0.0651512311253995,0.0087636257978648,0.0065796037154024,0.1781735197907977,0.4959134556804229,23934916.0,2024,2.13,1.06,0.24
014338,北海道,妹背牛町,31581,647787482,189391022.0,48508173.0,2786220.0,2365058.0,76715086.0,0.0,319765559.0,0.2923659799897152,0.0748828502369856,0.0043011328212112,0.0036509782385699,0.1184263174755204,0.4936272587620024,65565305.0,2024,6.48,3.2,0.66
014346,北海道,秩父別町,28948,1459208000,381391234.0,91802197.0,20904042.0,18699426.0,165945570.0,1151830.0,679894299.0,0.2613686561477185,0.0629123449158721,0.0143256081381132,0.0128147776053859,0.1137230401697359,0.4659337798312509,179307231.0,2024,14.59,6.8,1.79
014362,北海道,雨竜町,16023,594300800,151832762.0,38699686.0,459212.0,35478408.0,66085444.0,0.0,292555512.0,0.2554813353776404,0.0651180109466452,0.0007726928854882,0.0596977288268836,0.1111986455343825,0.4922684135710401,67117520.0,2024,5.94,2.93,0.67
014371,北海道,北竜町,24518,406397000,119572192.0,80382086.0,594000.0,2440036.0,0.0,0.0,202988314.0,0.2942250853229723,0.1977920260238141,0.0014616249627826,0.0060040699119334,0.0,0.4994828062215026,825396.0,2024,4.06,2.03,0.01
014389,北海道,沼田町,70185,1881426540,517964932.0,100638811.0,7472912.0,7682620.0,300834912.0,0.0,934594187.0,0.2753043613384979,0.0534906938221462,0.0039719392924052,0.0040834015236119,0.159897240526861,0.4967476365035225,200412878.0,2024,18.81,9.35,2.0
014524,北海道,鷹栖町,9354,221436500,52804359.0,14330435.0,0.0,935024.0,32996788.0,29700.0,101096306.0,0.2384627602043927,0.0647157763060742,0.0,0.0042225378381612,0.1490124166521779,0.4565476152305514,21735868.0,2024,2.21,1.01,0.22
014532,北海道,東神楽町,22947,827733921,216931654.0,62105318.0,5930000.0,17272062.0,90344539.0,0.0,392583573.0,0.2620789706647772,0.075030533876115,0.0071641379549068,0.0208666837999502,0.1091468365714107,0.47428716286716,73894182.0,2024,8.28,3.93,0.74
014541,北海道,当麻町,25931,670831471,141435255.0,53791307.0,0.0,2669976.0,87717463.0,0.0,285614001.0,0.2108357480443847,0.0801860218630082,0.0,0.0039800994965544,0.1307593140632485,0.425761183467196,73163191.0,2024,6.71,2.86,0.73
014559,北海道,比布町,7197,136472000,35343612.0,9268599.0,1282725.0,516699.0,18932588.0,544000.0,65888223.0,0.2589806846825722,0.0679157556128729,0.0093991807843367,0.0037861172987865,0.1387287355648045,0.4827966396037282,17171465.0,2024,1.36,0.66,0.17
014567,北海道,愛別町,961,27266000,5557479.0,1044681.0,397793.0,314608.0,5032486.0,0.0,12347047.0,0.2038245067116555,0.0383144208904863,0.0145893420377026,0.0115384728232964,0.184570013936771,0.452836756399912,2914523.0,2024,0.27,0.12,0.03
014575,北海道,上川町,4036,83044500,22362058.0,4908744.0,1622500.0,564000.0,11275814.0,0.0,40733116.0,0.2692780135951207,0.0591098025757274,0.0195377177296509,0.0067915394758232,0.1357803828068084,0.4904974561831307,9937796.0,2024,0.83,0.41,0.1
014583,北海道,東川町,73126,2596925600,753185914.0,251061971.0,0.0,22104513.0,271665649.0,0.0,1298018047.0,0.2900298391297771,0.0966766129149021,0.0,0.0085118006461178,0.1046104859530823,0.4998287386438795,271665649.0,2024,25.97,12.98,2.72
014591,北海道,美瑛町,19141,428646056,104668400.0,28663926.0,7955926.0,45973474.0,22810297.0,143000.0,210215023.0,0.2441837467880493,0.0668708497343551,0.0185605953644887,0.1072527633381514,0.0532147600116959,0.4904163238119237,45973474.0,2024,4.29,2.1,0.46
014605,北海道,上富良野町,19273,449037917,112402864.0,16614969.0,1196528.0,4231774.0,74069684.0,0.0,208515819.0,0.2503193154621729,0.0370012606307364,0.0026646480279303,0.0094240905718436,0.1649519588342469,0.4643612735269302,70026105.0,2024,4.49,2.09,0.7
014613,北海道,中富良野町,26860,446902000,120775674.0,27496029.0,3013820.0,9007712.0,54406278.0,0.0,214699513.0,0.2702509140706464,0.0615258580180889,0.0067438051295362,0.0201558999512197,0.1217409588679397,0.480417436037431,50044740.0,2024,4.47,2.15,0.5
014621,北海道,南富良野町,5405,91986400,21228736.0,7103587.0,824000.0,1222092.0,14817284.0,0.0,45195699.0,0.2307812459233104,0.0772243179426523,0.0089578459424436,0.0132855726498699,0.1610812467930041,0.4913302292512806,10497904.0,2024,0.92,0.45,0.1
014630,北海道,占冠村,775,106368000,31316702.0,579226.0,263384.0,1425689.0,11999154.0,0.0,45584155.0,0.2944184529181708,0.0054454911251504,0.0024761582430806,0.0134033637936221,0.1128079309566787,0.4285513970367027,11144317.0,2024,1.06,0.46,0.11
014648,北海道,和寒町,1836,40151000,10378178.0,2911906.0,924000.0,3352495.0,1011976.0,0.0,18578555.0,0.2584786929341734,0.0725238723817588,0.0230131254514208,0.0834971731712784,0.0252042539413713,0.4627171178800029,363000.0,2024,0.4,0.19,0.0
014656,北海道,剣淵町,1453,24233200,6271090.0,1478322.0,0.0,167201.0,3814872.0,0.0,11731485.0,0.2587809286433488,0.0610039945199148,0.0,0.006899666573131,0.1574233695921298,0.4841079593285245,2836903.0,2024,0.24,0.12,0.03
014681,北海道,下川町,1818,45331537,11002555.0,3649247.0,341000.0,311805.0,7206302.0,0.0,22510909.0,0.2427130366217232,0.0805012854516713,0.0075223568969214,0.0068783240241776,0.1589688432580611,0.4965838462525548,4663954.0,2024,0.45,0.23,0.05
014699,北海道,美深町,2231,59139100,12321225.0,3962048.0,6215726.0,1052572.0,4073262.0,0.0,27624833.0,0.2083431266285756,0.0669954057467902,0.1051034932895495,0.0177982417723638,0.0688759551633352,0.4671162226006145,3294000.0,2024,0.59,0.28,0.03
